Iteration	Lower_Bound 	Upper_Bound	X_left	X_Right	X_Optimum	Function_at_xopt
1	0.382	1	0.618	0.763924	2.073	13.9452
2	0.618	1	0.763924	0.854076	2.427	14.131
3	0.618	0.854076	0.708181	0.763924	2.20811	13.9333
4	0.618	0.763924	0.673743	0.708181	2.07289	13.9452
5	0.673743	0.763924	0.708181	0.729475	2.1565	13.9248
6	0.673743	0.729475	0.695033	0.708181	2.10483	13.9323
7	0.695033	0.729475	0.708181	0.716318	2.13676	13.9257
8	0.708181	0.729475	0.716318	0.721341	2.15648	13.9248
9	0.708181	0.721341	0.713208	0.716318	2.14428	13.9251
10	0.713208	0.721341	0.716318	0.718234	2.15182	13.9248
11	0.716318	0.721341	0.718234	0.719422	2.15649	13.9248
12	0.716318	0.719422	0.717504	0.718234	2.15361	13.9248
13	0.717504	0.719422	0.718234	0.718689	2.15539	13.9248
14	0.717504	0.718689	0.717956	0.718234	2.15429	13.9248
15	0.717956	0.718689	0.718234	0.718409	2.15497	13.9248
16	0.717956	0.718409	0.718129	0.718234	2.15455	13.9248
17	0.717956	0.718234	0.718062	0.718129	2.15429	13.9248
18	0.718062	0.718234	0.718129	0.718168	2.15444	13.9248
19	0.718062	0.718168	0.718103	0.718129	2.15435	13.9248
20	0.718103	0.718168	0.718129	0.718143	2.15441	13.9248
21	0.718129	0.718168	0.718143	0.718154	2.15445	13.9248
22	0.718129	0.718154	0.718139	0.718143	2.15442	13.9248
