Armijo's Search for Start Point with Value:  1
Iteration,X_Value,Func_Eval,Gradient
0,1,17,-11,
1,1.44,14.5639,-11,
2,1.49895,14.5007,-1.4738,
3,1.52616,14.4869,-0.680186,
4,1.553,14.4823,-0.335447,
5,1.55359,14.4823,-0.0074576,
6,1.55362,14.4823,-0.000295327,
7,1.55362,14.4823,-1.18084e-05,
8,1.55362,14.4823,-4.72328e-07,




Armijo's Search for Start Point with Value:  3
Iteration,X_Value,Func_Eval,Gradient
0,3,23,10.3333,
1,2.17333,16.3486,10.3333,
2,1.73192,14.66,5.51764,
3,1.57777,14.4858,1.92695,
4,1.55494,14.4824,0.28539,
5,1.55367,14.4823,0.0158154,
6,1.55362,14.4823,0.000646019,
7,1.55362,14.4823,2.58631e-05,
8,1.55362,14.4823,1.03456e-06,




